variant_gid,product_gid,mpn,vendor,title,colour,size,sku,barcode,images,gender_raw,season_raw,shopify_category,hs_code,country_of_origin,material_upper,description_html,stock,price_eur_net,compare_at_price
gid://shopify/ProductVariant/49393453007191,gid://shopify/Product/9664102269271,A03612007L1-01,Diesel,1994 l.32 trousers,Blue,28/32,DIEA03612007L1-01-28/32,8052105517763,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/1994_l.32_trousers_330558.jpg?v=1730376887, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/1994_l.32_trousers_330559.jpg?v=1730376890",Women,23SS,Clothing>Bottoms>Jeans Skinny>Women,6204.62.90.90,TN,"Cotton, Hemp","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Skinny Jeans</p><p>Colour: Blue</p><p><strong>Composition</strong><br>Outer: Cotton, Hemp</p><p><strong>Product Code: </strong>A03612007L1</p>",0,165.28,
gid://shopify/ProductVariant/49393453039959,gid://shopify/Product/9664102269271,A03612007L1-01,Diesel,1994 l.32 trousers,Blue,26/32,DIEA03612007L1-01-26/32,8052105517749,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/1994_l.32_trousers_330558.jpg?v=1730376887, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/1994_l.32_trousers_330559.jpg?v=1730376890",Women,23SS,Clothing>Bottoms>Jeans Skinny>Women,6204.62.90.90,TN,"Cotton, Hemp","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Skinny Jeans</p><p>Colour: Blue</p><p><strong>Composition</strong><br>Outer: Cotton, Hemp</p><p><strong>Product Code: </strong>A03612007L1</p>",0,165.28,
gid://shopify/ProductVariant/49393453072727,gid://shopify/Product/9664102269271,A03612007L1-01,Diesel,1994 l.32 trousers,Blue,30/32,DIEA03612007L1-01-30/32,8052105517787,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/1994_l.32_trousers_330558.jpg?v=1730376887, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/1994_l.32_trousers_330559.jpg?v=1730376890",Women,23SS,Clothing>Bottoms>Jeans Skinny>Women,6204.62.90.90,TN,"Cotton, Hemp","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Skinny Jeans</p><p>Colour: Blue</p><p><strong>Composition</strong><br>Outer: Cotton, Hemp</p><p><strong>Product Code: </strong>A03612007L1</p>",0,165.28,
gid://shopify/ProductVariant/49393453105495,gid://shopify/Product/9664102269271,A03612007L1-01,Diesel,1994 l.32 trousers,Blue,29/32,DIEA03612007L1-01-29/32,8052105517770,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/1994_l.32_trousers_330558.jpg?v=1730376887, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/1994_l.32_trousers_330559.jpg?v=1730376890",Women,23SS,Clothing>Bottoms>Jeans Skinny>Women,6204.62.90.90,TN,"Cotton, Hemp","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Skinny Jeans</p><p>Colour: Blue</p><p><strong>Composition</strong><br>Outer: Cotton, Hemp</p><p><strong>Product Code: </strong>A03612007L1</p>",0,165.28,
gid://shopify/ProductVariant/49393453138263,gid://shopify/Product/9664102269271,A03612007L1-01,Diesel,1994 l.32 trousers,Blue,31/32,DIEA03612007L1-01-31/32,8052105517794,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/1994_l.32_trousers_330558.jpg?v=1730376887, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/1994_l.32_trousers_330559.jpg?v=1730376890",Women,23SS,Clothing>Bottoms>Jeans Skinny>Women,6204.62.90.90,TN,"Cotton, Hemp","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Skinny Jeans</p><p>Colour: Blue</p><p><strong>Composition</strong><br>Outer: Cotton, Hemp</p><p><strong>Product Code: </strong>A03612007L1</p>",0,165.28,
gid://shopify/ProductVariant/49393496785239,gid://shopify/Product/9664121438551,JS-1005-D-BLACK,Jonathan Simkhai,April solid cotton dress,Black,S,SIMJS-1005-D-BLACK-S,0192521331203,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/April_solid_cotton_dress_330648.jpg?v=1730377208,Women,23SS,Clothing>Dresses Midi>Women,6204.42.00.90,CN,Cotton 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Midi Dress</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Cotton 100%</p><p><strong>Product Code: </strong>JS1005D</p>,0,520.65,
gid://shopify/ProductVariant/49393496818007,gid://shopify/Product/9664121438551,JS-1005-D-BLACK,Jonathan Simkhai,April solid cotton dress,Black,M,SIMJS-1005-D-BLACK-M,0192521331210,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/April_solid_cotton_dress_330648.jpg?v=1730377208,Women,23SS,Clothing>Dresses Midi>Women,6204.42.00.90,CN,Cotton 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Midi Dress</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Cotton 100%</p><p><strong>Product Code: </strong>JS1005D</p>,0,520.65,
gid://shopify/ProductVariant/49393691459927,gid://shopify/Product/9664184910167,J30J325173LFU,Calvin Klein Jeans,S/s shirt,Green,L,CKJ30J325173LFU-L,8720109349955,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/s_shirt_331059.jpg?v=1730378578,Men,24SS,Clothing>Tops>Shirts Short Sleeve>Men,6205.20.00.90,IN,"Linen, Cotton","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Short Sleeve Shirt</p><p>Colour: Green</p><p><strong>Composition</strong><br>Outer: Linen, Cotton</p><p><strong>Product Code: </strong>J30J325173LFU</p>",0,82.64,
gid://shopify/ProductVariant/49393691492695,gid://shopify/Product/9664184910167,J30J325173LFU,Calvin Klein Jeans,S/s shirt,Green,XL,CKJ30J325173LFU-XL,8720109350210,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/s_shirt_331059.jpg?v=1730378578,Men,24SS,Clothing>Tops>Shirts Short Sleeve>Men,6205.20.00.90,IN,"Linen, Cotton","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Short Sleeve Shirt</p><p>Colour: Green</p><p><strong>Composition</strong><br>Outer: Linen, Cotton</p><p><strong>Product Code: </strong>J30J325173LFU</p>",0,82.64,
gid://shopify/ProductVariant/49399028515159,gid://shopify/Product/9665754202455,323547926004,Ralph Lauren Kids,Polo shirt (8-20),Blue,14,PRL323547926004-14,,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Polo_shirt_8-20__331403.jpg?v=1730462883, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Polo_shirt_8-20__331404.jpg?v=1730462885, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Polo_shirt_8-20__331405.jpg?v=1730462887",Boys,22AW,Clothing>Tops>T-Shirts & Shirts>Boys,6205.20.00.90,GT,Cotton 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: T-Shirts &amp; Shirts</p><p>Colour: Blue</p><p><strong>Composition</strong><br>Outer: Cotton 100%</p><p><strong>Product Code: </strong>323547926004</p>,0,66.11,
